대분류,소분류,사실관계,법조항,위반여부,해설
평상시 선거운동,말로 지지 발언,지하철역 앞에서 특정 후보 지지 발언,공직선거법 §59,✅,평상시 말로 하는 선거운동은 가능
평상시 선거운동,전화홍보,친구에게 특정 후보를 전화로 추천,공직선거법 §58,✅,일반 유권자가 전화로 지지 권유 가능
평상시 선거운동,단체 문자,선거운동용 단체 문자 발송,공직선거법 §93,❌,선거기간 외에는 문자 발송 불가
평상시 선거운동,카카오톡 메시지,지인에게 후보 공약 전달,공직선거법 §82의7,✅,"1:1 대화는 허용, 단체방은 제한 있음"
평상시 선거운동,페이스북 글 게시,후보 지지 게시글 업로드,공직선거법 §93,✅,개인 계정에서 자발적 표현은 허용
평상시 선거운동,인쇄물 배포,자비로 제작한 리플릿을 상가에 배포,공직선거법 §93,❌,사전심의 없는 배포는 위법 소지 있음
평상시 선거운동,SNS 공유,기사 링크 공유 후 지지 표현,공직선거법 §93,✅,공개 링크와 개인 의견 공유는 허용
평상시 선거운동,댓글 작성,지지 댓글을 반복적으로 게시,공직선거법 §82의7,✅,중복도 문제되지 않음
평상시 선거운동,지하철 대화,이웃에게 후보 소개 대화,공직선거법 §58,✅,비공식적 일상 대화는 무방
평상시 선거운동,블로그 포스팅,후보 칭찬 글을 블로그에 게시,공직선거법 §93,✅,개인 블로그는 허용 범위 내
평상시 선거운동,유튜브 댓글,지지 코멘트를 영상에 반복 작성,공직선거법 §82의7,✅,표현의 자유로 인정
평상시 선거운동,밴드 공지글,후보 응원글을 밴드 공지에 올림,공직선거법 §93,❌,단체 공간은 제3자 선거운동 간주
평상시 선거운동,지지 현수막,개인이 사유지에 지지 현수막 설치,공직선거법 §90,❌,선거기간 외 현수막 설치는 제한
평상시 선거운동,이메일 발송,후보 홍보 내용 이메일 발송,공직선거법 §93,❌,전자우편도 선거운동 간주
평상시 선거운동,단체 회의 중 언급,직장 회의 중 후보 언급 및 추천,공직선거법 §58,✅,사적 발언은 허용되나 조직적 권유는 주의
예비후보자 선거운동,명함 배부,예비후보자가 길거리에서 명함 배부,공직선거법 §60의3,✅,예비후보자는 명함 배부 가능
예비후보자 선거운동,어깨띠 착용,어깨띠 착용 후 인사하며 거리 유세,공직선거법 §60의3,✅,예비후보자에 한해 허용
예비후보자 선거운동,공약집 배포,예비후보자가 공약 홍보물 배포,공직선거법 §60의3,✅,예비후보자는 1종 인쇄물 배포 허용
예비후보자 선거운동,지지 인사,지하철역 앞 유권자에게 인사,공직선거법 §60의3,✅,확성기 없이 인사만 가능
예비후보자 선거운동,자원봉사자 동원,동네 주민이 조끼 입고 활동,공직선거법 §60의3,✅,예비후보자는 가능하나 대가 지급 금지
예비후보자 선거운동,후보자 홍보 영상,상가 앞 전광판에서 영상 상영,공직선거법 §93,❌,예비후보자는 영상 상영 불가
예비후보자 선거운동,단체방 홍보,카카오톡 단체방에 공약 이미지 공유,공직선거법 §82의7,❌,단체방은 제3자 선거운동 간주 가능
예비후보자 선거운동,페이스북 홍보,공식 페이지에 지지 선언 게시,공직선거법 §93,✅,예비후보자는 공식 SNS 활동 가능
예비후보자 선거운동,현수막 게시,예비후보자 현수막 무단 게시,공직선거법 §90,❌,예비후보 현수막은 허용되지 않음
예비후보자 선거운동,SNS 광고,페이스북 유료 광고 진행,공직선거법 §93,❌,예비후보는 유료광고 불가
예비후보자 선거운동,문자 발송,8회 이하 문자 발송,공직선거법 §60의3,✅,예비후보자는 8회까지 가능
예비후보자 선거운동,음성전화 홍보,유권자에 자동음성 통화 발송,공직선거법 §82의2,❌,자동통화는 제한됨
예비후보자 선거운동,선거사무소 설치,후보자 이름이 적힌 현판 게시,공직선거법 §60의3,✅,1곳 설치 허용
예비후보자 선거운동,출근길 인사,지하철 출입구 인사 활동,공직선거법 §60의3,✅,명함 배부 동반 가능
예비후보자 선거운동,후보 영상 SNS 업로드,유튜브에 공약 발표 영상 업로드,공직선거법 §93,❌,공식 선거운동 기간 외 제한
선거기간 전,출판기념회,예비후보자가 책 출간 행사 개최,공직선거법 §93,❌,출판기념회는 사실상 사전선거운동으로 제한됨
선거기간 전,의정보고회,현역의원이 지역주민 대상 의정보고회 개최,공직선거법 §90,✅,"연 2회 허용, 사전선거운동 목적 불가"
선거기간 전,현수막 게시,사전지지 문구가 포함된 현수막 게시,공직선거법 §93,❌,정당·후보 지지 내용은 선거기간 외 제한
선거기간 전,SNS 설문조사,후보자 지지도를 페이스북에 설문 형식으로 게시,공직선거법 §108,❌,사전 여론조사 공표는 위법 소지 있음
선거기간 전,홍보영상 상영,예비후보자가 유튜브 채널로 공약영상 홍보,공직선거법 §93,❌,선거운동용 영상물은 선거기간 중만 허용
선거기간 전,포럼 운영,후보 지지 포럼 창립 행사 진행,공직선거법 §87,❌,사조직 설립·운영은 선거운동 간주될 수 있음
선거기간 전,카카오톡 뉴스 공유,뉴스 링크와 지지 코멘트 포함,공직선거법 §93,✅,공공 뉴스는 의견과 함께 공유 가능
선거기간 전,정책토론회,자체 주최 정책토론회 개최,공직선거법 §81,❌,공식 선거운동 기간 전 공개토론은 제한
선거기간 전,문자 홍보,지지 문자 수차례 발송,공직선거법 §93,❌,선거운동 문자 전송은 선거기간 전 불가
선거기간 전,명함 배포,상시명함 배포 시도,공직선거법 §60,❌,선거기간 전 무단 배포는 위법
선거기간 전,영상 광고,인터넷 배너와 유튜브 광고 노출,공직선거법 §93,❌,공식 선거기간 외 광고행위는 제한
선거기간 전,구청 민원센터 홍보,민원창구에 홍보자료 비치,공직선거법 §85,❌,공공기관 내 선거운동은 불가
선거기간 전,선거사무소 운영,예비후보 시기 사무소 개설,공직선거법 §60,✅,예비후보에 한해 설치 가능
